imputacao,link,tcp,modelo,RMSE,MAE,NRMSE
svd,ro-se,bbr,GRU,8.283184740551876,5.290757697096815,0.12842778669641972
svd,ro-se,bbr,LSTM,8.476065828376495,5.481433503757605,0.13141833827540852
svd,rs-go,bbr,bi-LSTM,20.5023067800521,11.750858277067275,0.11933814004351152
svd,rs-go,bbr,GRU,20.416587687823885,12.032447701019498,0.11883919340582458
svd,rs-go,bbr,LSTM,20.555544512931355,12.155248530776188,0.11964802185779232
svd,rs-pe,bbr,bi-LSTM,399.4084345387211,280.60941479135,0.15271425134808056
svd,rs-pe,bbr,GRU,403.6713597391999,291.64273436277443,0.1543441854562469
svd,rs-pe,bbr,LSTM,400.81282658894787,284.53675518139926,0.15325122218295356
svd,se-es,bbr,bi-LSTM,12.300910880672308,8.93872500274649,0.15314559332062133
svd,se-es,bbr,GRU,12.061132994027826,8.862302315554158,0.15016037319574171
svd,se-es,bbr,LSTM,12.347311833168344,8.947249829770152,0.15372328236085436
svd,to-ba,bbr,bi-LSTM,29.786913769886315,21.931449760143092,0.1794521039151982
svd,to-ba,bbr,GRU,29.549922952897063,22.716825074560433,0.17802434603984899
svd,to-ba,bbr,LSTM,29.63318496878764,22.746901813977995,0.17852596040793065
svd,to-rs,bbr,bi-LSTM,59.124754419928685,34.137520919859945,0.1314971737229615
svd,to-rs,bbr,GRU,58.617885101600386,32.883799835747546,0.1303698644688094
svd,to-rs,bbr,LSTM,59.566325985902786,34.48686771837797,0.1324792566676045
